Package name	NCBI Version	DDBJ Version	abs_air_humidity	affection_status	age	agrochem_addition	air_temp	air_temp_regm	al_sat	al_sat_meth	alkalinity	alkyl_diethers	altitude	aminopept_act	ammonium	amniotic_fluid_color	analyte_type	anamorph	annual_season_precpt	annual_season_temp	antibiotic_regm	atmospheric_data	authority	bac_prod	bac_resp	bacteria_carb_prod	barometric_press	beta_lactamase_family	bio_material	biochem_oxygen_dem	biomass	biomaterial_provider	bioproject_accession	biospecimen_repository	biospecimen_repository_sample_id	biotic_relationship	biovar	birth_control	birth_date	birth_location	bishomohopanol	blood_blood_disord	blood_press_diast	blood_press_syst	body_habitat	body_mass_index	body_product	breed	breeding_history	breeding_method	bromide	build_occup_type	building_setting	calcium	carb_dioxide	carb_monoxide	carb_nitro_ratio	carbapenemase	cell_line	cell_subtype	cell_type	chem_administration	chem_mutagen	chem_oxygen_dem	child_of	chloride	chlorophyll	climate_environment	clone	clone_lib	collected_by	collection_date	component_organism	compound	conduc	crop_rotation	cultivar	culture_collection	cur_land_use	cur_vegetation	cur_vegetation_meth	death_date	density	depth	derived_from	dermatology_disord	description	dev_stage	dew_point	diet	diet_last_six_month	diether_lipids	disease	disease_stage	diss_carb_dioxide	diss_hydrogen	diss_inorg_carb	diss_inorg_nitro	diss_inorg_phosp	diss_org_carb	diss_org_nitro	diss_oxygen	dominant_hand	dose	douche	down_par	drainage_class	drug_usage	dry_mass	ecotype	edta_inhibitor_tested	efficiency_percent	elev	emulsions	encoded_traits	env_biome	env_feature	env_material	env_package	estimated_size	ethnicity	experimental_factor	extrachrom_elements	extreme_event	extreme_salinity	family_id	family_relationship	fao_class	fertilizer_regm	filter_type	fire	flooding	fluor	foetal_health_stat	forma	forma_specialis	fungicide_regm	gap_accession	gap_change_status	gap_consent_code	gap_consent_short_name	gap_sample_id	gap_study_version	gap_subject_id	gaseous_environment	gaseous_substances	gastrointest_disord	genotype	geo_loc_name	gestation_state	glucosidase_act	gravidity	gravity	growth_hormone_regm	growth_med	growth_protocol	gynecologic_disord	haplotype	health_state	heat_cool_type	heavy_metals	heavy_metals_meth	height_or_length	herbicide_regm	histological_type	hiv_stat	horizon	horizon_meth	host	host_age	host_blood_press_diast	host_blood_press_syst	host_body_habitat	host_body_mass_index	host_body_product	host_body_temp	host_color	host_description	host_diet	host_disease	host_disease_outcome	host_disease_stage	host_dry_mass	host_family_relationship	host_genotype	host_growth_cond	host_health_state	host_height	host_hiv_stat	host_infra_specific_name	host_infra_specific_rank	host_last_meal	host_length	host_life_stage	host_occupation	host_phenotype	host_pulse	host_sex	host_shape	host_subject_id	host_substrate	host_taxid	host_tissue_sampled	host_tot_mass	host_wet_mass	hrt	humidity	humidity_regm	hysterectomy	identified_by	ihmc_medication_code	image_file	indoor_space	indoor_surf	indust_eff_percent	infra_specific_name	infra_specific_rank	inorg_particles	investigation_type	is_tumor	isol_growth_condt	isolate	isolate_name_alias	isolation_source	karyotype	kidney_disord	lab_host	label	last_meal	lat_lon	life_stage	light_intensity	light_type	link_addit_analys	link_class_info	link_climate_info	liver_disord	local_class	local_class_meth	locus_tag_prefix	magnesium	maternal_health_stat	mating_type	mean_frict_vel	mean_peak_frict_vel	mechanical_damage	medic_hist_perform	menarche	menopause	methane	microbial_biomass	microbial_biomass_meth	mineral_nutr_regm	misc_param	molecular_data_type	morphology	n_alkanes	narms_isolate_number	nitrate	nitrite	nitro	non_mineral_nutr_regm	nose_mouth_teeth_throat_disord	nose_throat_disord	num_replicons	occup_samp	occupant_dens_samp	occupation	org_carb	org_matter	org_nitro	org_particles	organism	organism_count	orgmod_note	original_subject_id	outbreak	oxy_stat_samp	oxygen	part_org_carb	part_org_nitro	particle_class	passage_history	pathogenicity	pathotype	pathovar	perturbation	pesticide_regm	pet_farm_animal	petroleum_hydrocarb	ph	ph_meth	ph_regm	phaeopigments	phenotype	phosphate	phosplipid_fatt_acid	photon_flux	plant_body_site	plant_product	ploidy	pollutants	pool_dna_extracts	population	population_description	porosity	potassium	pre_treatment	pregnancy	pressure	previous_land_use	previous_land_use_meth	primary_prod	primary_treatment	profile_position	project_name	propagation	pulmonary_disord	pulse	race	radiation_regm	rainfall_regm	reactor_type	redox_potential	ref_biomaterial	reference_material	rel_air_humidity	rel_to_oxygen	repository	resp_part_matter	risk_group	salinity	salinity_meth	salt_regm	same_as	samp_collect_device	samp_mat_process	samp_salinity	samp_size	samp_sort_meth	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	sample_name	sample_title	sample_type	sample_use	season_environment	secondary_treatment	sediment_type	serogroup	serotype	serovar	sewage_type	sex	sexual_act	sieving	silicate	slope_aspect	slope_gradient	sludge_retent_time	smoker	sodium	soil_type	soil_type_meth	solar_irradiance	soluble_inorg_mat	soluble_org_mat	soluble_react_phosp	source_material_id	source_name	space_typ_state	special_diet	specimen_voucher	standing_water_regm	store_cond	strain	stud_book_number	study_complt_stat	study_design	study_disease	study_name	sub_species	subclone	subgroup	subject_is_affected	submitted_sample_id	submitted_subject_id	submitter_handle	subspecf_gen_lin	subsrc_note	substrain	substrate	substructure_type	subtype	sulfate	sulfide	super_population_code	super_population_description	surf_air_cont	surf_humidity	surf_material	surf_moisture	surf_moisture_ph	surf_temp	suspend_part_matter	suspend_solids	taxonomy_id	teleomorph	temp	tertiary_treatment	texture	texture_meth	tidal_stage	tillage	time_last_toothbrush	time_since_last_wash	tiss_cult_growth_med	tissue	tissue_lib	tot_carb	tot_depth_water_col	tot_diss_nitro	tot_inorg_nitro	tot_mass	tot_n_meth	tot_nitro	tot_org_c_meth	tot_org_carb	tot_part_carb	tot_phosp	tot_phosphate	travel_out_six_month	treatment	trophic_level	turbidity	twin_sibling	typ_occupant_dens	type_status	type_strain	urine_collect_meth	urogenit_disord	urogenit_tract_disor	variety	ventilation_rate	ventilation_type	volatile_org_comp	wastewater_type	water_content	water_content_soil	water_content_soil_meth	water_current	water_temp_regm	watering_regm	weight_loss_3_month	wet_mass	wind_direction	wind_speed
MIMS.me.sediment	4.0	2.0	-	-	-	-	-	-	-	-	O	O	O	O	O	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	O	-	O	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	O	-	-	-	-	O	-	-	-	O	O	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	O	M	-	-	O	-	-	-	-	O	-	-	O	O	O	-	-	O	O	O	-	-	-	-	-	-	-	-	-	-	M	-	-	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	O	-	-	O	O	-	-	-	-	O	-	-	-	O	-	-	O	-	O	O	O	-	-	-	-	-	-	-	O	O	O	-	M	O	-	-	-	O	-	O	-	O	-	-	-	-	O	-	-	O	O	-	-	O	-	O	O	-	-	-	-	-	-	-	-	O	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	O	O	-	-	O	-	-	-	O	-	-	-	O	O	-	O	-	O	O	O	O	M	M	-	-	-	-	O	-	-	-	-	-	-	-	O	-	-	-	-	O	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	O	-	-	-	-	-	-	-	-	-	-	M	-	O	-	-	-	O	-	-	-	-	-	-	O	-	-	-	-	-	O	-	O	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-
MIMS.me.soil	4.0	2.0	-	-	-	O	-	-	O	O	-	-	O	-	-	-	-	-	O	O	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	O	-	-	O	O	O	-	-	M	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	M	-	-	M	M	M	-	-	-	-	-	O	O	-	-	O	-	-	O	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	O	O	-	-	-	-	O	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	M	-	-	-	O	O	O	-	O	O	-	-	-	-	-	-	-	-	-	-	-	O	O	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	O	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	O	O	-	-	O	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	-	O	-	-	O	O	-	O	-	-	-	-	O	M	M	-	-	-	-	-	-	-	-	-	-	-	O	-	O	O	-	-	-	O	O	-	-	-	-	O	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	O	O	-	O	-	-	-	-	-	-	-	-	-	-	O	O	O	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	O	-	-	-	-	-	-	-
MIMS.me.wastewater	4.0	2.0	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	O	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	O	-	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	-	-	O	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	O	M	O	-	-	-	O	-	-	-	-	-	-	-	-	O	-	-	-	O	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	O	-	-	-	-	-	-	-	-	O	-	O	-	-	O	-	-	-	-	-	-	-	O	O	O	O	-	O	O	O	O	M	M	-	-	-	O	-	-	-	-	O	-	-	-	-	-	-	O	-	O	-	-	-	O	O	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	M	-	O	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-
MIMS.me.water	4.0	2.0	-	-	-	-	-	-	-	-	O	O	O	O	O	-	-	-	-	-	-	O	-	O	O	O	-	-	-	-	O	-	O	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	O	-	-	-	-	O	-	-	-	O	O	-	-	-	-	M	-	-	O	-	-	-	-	-	-	-	O	M	-	-	O	-	-	-	-	O	-	-	O	O	O	O	O	O	O	O	-	-	-	O	-	-	-	-	-	-	O	-	-	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	M	-	O	-	-	-	-	-	-	-	-	O	-	-	O	O	-	-	-	-	-	-	-	-	O	-	-	O	-	O	O	O	-	-	-	-	-	-	-	O	O	O	-	M	O	-	-	-	O	-	O	O	-	-	-	-	-	O	-	-	O	O	-	-	O	-	O	O	O	-	-	-	-	-	-	-	-	O	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	O	O	-	-	O	-	-	-	O	-	-	-	O	O	-	O	-	O	O	O	O	M	M	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	O	-	-	-	-	-	O	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	O	-	-	-	-	-	-	-	-	O	-	M	-	O	-	-	-	O	-	-	-	-	-	-	-	O	O	O	-	-	O	-	-	O	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-
MIGS.ba	4.0	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	M	M	M	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	-	-	O	O	-	O	-	-	-	-	-	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MIGS.ba.air	4.0	2.0	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	O	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	O	M	M	M	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	O	-	-	-	O	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	M	O	-	-	-	O	O	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	O	-	O	-	-	-	-	-	O	O	O	O	-	O	O	O	O	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	O	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	O	O	O	-	-	-	-	-	-	-	-	-	O	O
MIGS.ba.built	4.0	2.0	M	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	M	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	M	M	M	-	O	-	-	O	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	O	M	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	M	O	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	M	-	-	M	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	M	M	-	-	-	-	-	M	M	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	M	O	-	-	-	-	-	-	-	O	O	-	O	O	-	-	-	O	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	M	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	O	-	-	-	-	-	O	O	O	O	O	O	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	M	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-
MIGS.ba.host-associated	4.0	2.0	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	O	M	M	M	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	O	O	O	O	-	O	O	O	-	O	O	-	-	O	O	O	O	-	O	-	O	O	O	O	O	-	O	-	O	O	O	O	O	O	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	M	O	-	-	-	O	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	-	-	O	O	O	O	-	O	O	O	O	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MIGS.ba.human-associated	4.0	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	O	M	M	M	-	O	O	-	O	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	O	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	O	-	-	-	O	O	O	-	-	O	O	-	-	-	O	O	-	-	O	O	-	-	O	-	-	O	O	O	O	-	O	-	O	O	O	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	-	-	O	-	O	-	-	-	M	-	-	-	-	-	-	-	-	-	O	-	O	-	-	-	-	O	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	O	M	-	-	-	-	-	-	-	M	O	-	-	-	O	-	-	-	-	-	O	-	-	O	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	-	-	O	O	O	O	-	O	O	O	O	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	O	-	-	-	-	-	-	M	-	O	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	O	-	O	-	-	-	O	-	O	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-
MIGS.ba.human-gut	4.0	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	M	M	M	-	O	O	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	M	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	O	-	-	-	O	O	O	-	-	O	O	-	-	-	O	O	-	-	O	-	-	-	O	-	-	O	O	O	O	-	O	-	O	O	O	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	M	-	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	O	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	M	O	-	-	-	O	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	-	-	O	O	O	O	-	O	O	O	O	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MIGS.ba.human-oral	4.0	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	M	M	M	-	O	O	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	O	-	-	-	O	O	O	-	-	O	O	-	-	-	O	O	-	-	O	-	-	-	O	-	-	O	O	O	O	-	O	-	O	O	O	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	O	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	O	-	M	-	-	-	-	-	-	-	M	O	-	-	-	O	-	-	-	-	-	O	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	O	-	-	-	-	-	-	-	O	O	O	O	-	O	O	O	O	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	O	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	O	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
